Company Name,ATS Type,Slug or URL,Notes
Nokia Canada,url,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=co-op+intern,Nokia Ottawa
IBM Canada,url,https://careers.ibm.com/jobs?keywords=co-op+intern&country=CA,IBM Markham/Ottawa
SAP Canada,url,https://jobs.sap.com/search/?q=intern+co-op&location=Ontario,SAP Ontario
Capital One Canada,url,https://www.capitalonecareers.com/search-jobs?keyword=intern+co-op&location=Toronto,Capital One Toronto
Scotiabank Tech,url,https://jobs.scotiabank.com/search/?q=technology+co-op+intern&l=Ontario,Scotiabank Technology
CIBC Campus,url,https://cibc.wd3.myworkdayjobs.com/en-US/campus/jobs?q=co-op+intern,CIBC Co-op
EQ Bank,greenhouse,eqbank,EQ Bank / Equitable Bank Toronto
CI Financial,url,https://careers.cifinancial.com/en/search-results?keywords=intern+co-op,CI Financial Toronto
Intact Financial,url,https://careers.intactfc.com/ca/en/search-results?keywords=intern+co-op,Intact Insurance Toronto
Mackenzie Investments,url,https://mackenzieinvestments.wd3.myworkdayjobs.com/en-US/External/jobs?q=intern,Mackenzie Investments Toronto
IG Wealth Management,url,https://www.igwealthmanagement.com/careers,IG Wealth Winnipeg/Toronto
Fidelity Canada,url,https://jobs.fidelity.ca/search/?q=intern+co-op&l=Ontario,Fidelity Canada Toronto
National Bank,url,https://emplois.bnc.ca/en-CA/search-results?keywords=intern+co-op,National Bank of Canada
Desjardins,url,https://careers.desjardins.com/en/search-results?keywords=intern+co-op,Desjardins Group
Questrade,url,https://careers.questrade.com/careers,Questrade Toronto
Aviva Canada,greenhouse,aviva,Aviva Insurance Toronto
RSA Insurance,url,https://rsagroup.wd3.myworkdayjobs.com/en-US/rsacareers/jobs?q=co-op+intern,RSA Insurance
Economical Insurance,url,https://www.economical.com/en/about/careers,Economical Insurance Waterloo
Gore Mutual,url,https://www.goremutual.ca/about-us/careers,Gore Mutual Cambridge
TechInsights,url,https://www.techinsights.com/company/careers,TechInsights Ottawa
